ID,Chapter,Verse,EngMeaning,clean_text
BG14.15,14,15,"14.15 Meeting death in Rajas, he is born among those who are attached to action; and dying in Tamas, he is born in the womb of the senseless.",meeting death rajas born among attached action dying tamas born womb senseless
BG14.16,14,16,"14.16 The fruit of good action, they say, is Sattvic and pure, verily the fruit of Rajas is pain, and ignorance is the fruit of Tamas.",fruit good action say sattvic pure verily fruit rajas pain ignorance fruit tamas
BG14.17,14,17,"14.17 From Sattva arises knowledge, and greed from Rajas; heedlessness and delusion arise from Tamas, and also ignorance.",sattva arises knowledge greed rajas heedlessness delusion arise tamas also ignorance
BG14.18,14,18,"14.18 Those who are seated in Sattva go upwards; the Rajasic dwell in the middle; and the Tamasic, abiding in the function of the lowest Guna, go downwards.",seated sattva go upwards rajasic dwell middle tamasic abiding function lowest guna go downwards
BG14.19,14,19,"14.19 When the seer beholds no agent other than the Gunas and knows That which is higher than they, he attains to My Being.",seer beholds agent gunas knows higher attains
BG14.20,14,20,"14.20 The embodied one having crossed beyond these three Gunas out of which the body is evolved, is freed from birth, death, decay and pain, and attains to immortality.",embodied one crossed beyond three gunas body evolved freed birth death decay pain attains immortality
BG14.21,14,21,"14.21 Arjuna said  What are the marks of him who has transcended the three alities, O Lord? What is his conduct and how does he go beyond these three alities?",arjuna said marks transcended three alities lord conduct go beyond three alities
BG14.22,14,22,"14.22 The Blessed Lord said  When light, activity and delusion are present, he hates them not, nor does he long for them when they are absent.",blessed lord said light activity delusion present hates long absent
BG14.23,14,23,"14.23 He who, seated like one unconcerned, is not moved by the alities, and who, knowing that the alities are active, is self-centred and moves not.",seated like one unconcerned moved alities knowing alities active self centred moves
BG14.24,14,24,"14.24 Who is the same in pleasure and pain, who dwells in the Self, to whom a clod of earth, stone and gold are alike, who is the same to the dear and the unfriendly, who is firm, and to whom censure and praise are as one.",pleasure pain dwells self clod earth stone gold alike dear unfriendly firm censure praise one
BG14.25,14,25,"14.25 Who is the same in honour and dishonour, the same to friend and foe, abandoning all undertakings  he is said to have transcended the alities.",honour dishonour friend foe abandoning undertakings said transcended alities
BG14.26,14,26,"14.26 And he who serves Me with unswerving devotion, he, crossing beyond the alities, is fit for becoming Brahman.",serves unswerving devotion crossing beyond alities fit becoming brahman
BG14.27,14,27,"14.27 For I am the abode of Brahman, the immortal and the immutable, of everlasting Dharma and of absolute bliss.",abode brahman immortal immutable everlasting dharma absolute bliss
BG15.1,15,1,"15.1 The Blessed Lord said  They (the wise) speak of the indestructible peepul tree having its root above and branches below, whose leaves are the metres or hymns: he who knows it is a knower of the Vedas.",blessed lord said wise speak indestructible peepul tree root branches whose leaves metres hymns knows knower vedas
BG15.2,15,2,"15.2 Below and above spread its branches, nourished by the Gunas; sense-objects are its buds; and below, in the world of men, stretch forth the roots, originating action.",spread branches nourished gunas sense objects buds world men stretch forth roots originating action
BG15.3,15,3,"15.3 Its form is not perceived here as such, neither its end nor its origin, nor its foundation nor resting place: having cut asunder this firmly rooted peepul tree with the strong axe of non-attachment.",form perceived neither end origin foundation resting place cut asunder firmly rooted peepul tree strong axe non attachment
BG15.4,15,4,"15.4 Then That goal should be sought for, whither having gone none returns again. I seek refuge in that Primeval Purusha Whence streamed forth the ancient activity or energy.",goal sought whither gone none returns seek refuge primeval purusha whence streamed forth ancient activity energy
BG15.5,15,5,"15.5 Free from pride and delusion, victorious over the evil of attachment, dwelling constantly in the Self, their desires having completely turned away, freed from the pairs of opposites known as pleasure and pain, the undeluded reach the eternal goal.",free pride delusion victorious evil attachment dwelling constantly self desires completely turned away freed pairs opposites known pleasure pain undeluded reach eternal goal
BG15.6,15,6,"15.6 Neither doth the sun illumine there nor the moon, nor the fire; having gone thither they return not; that is My supreme abode.",neither doth sun illumine moon fire gone thither return supreme abode
BG15.7,15,7,"15.7 An eternal portion of Myself having become a living soul in the world of life, draws to (itself) the (five) senses with the mind for the sixth, abiding in Nature.",eternal portion become living soul world life draws five senses mind sixth abiding nature
BG15.8,15,8,"15.8 When the Lord (as the individual soul) obtains a body and when He leaves it, He takes these and goes (with them) as the wind takes the scents from their seats (flowers, etc.).",lord individual soul obtains body leaves takes goes wind takes scents seats flowers etc
BG15.9,15,9,"15.9 Presiding over the ear, the eye, touch, taste and smell, as well as the mind, it enjoys the objects of the senses.",presiding ear eye touch taste smell well mind enjoys objects senses
BG15.10,15,10,"15.10 The deluded do not see Him Who departs, stays and enjoys; but they who possess the eye of knowledge behold Him.",deluded see departs stays enjoys possess eye knowledge behold
BG15.11,15,11,"15.11 The Yogins striving (for perfection) behold Him dwelling in the Self; but, the unrefined and unintelligent, even though striving, see Him not.",yogins striving perfection behold dwelling self unrefined unintelligent even though striving see
BG15.12,15,12,"15.12 That light which residing in the sun illumines the whole world, that which is in the moon and in the fire  know that light to be Mine.",light residing sun illumines whole world moon fire know light mine
BG15.13,15,13,15.13 Permeating the earth I support all beings by (My) energy; and having become the watery moon I nourish all herbs.,permeating earth support beings energy become watery moon nourish herbs
BG15.14,15,14,"15.14 Having become the fire Vaisvanara, I abide in the body of living beings and, associated with the Prana and the Apana, digest the fourfold food.",become fire vaisvanara abide body living beings associated prana apana digest fourfold food
BG15.15,15,15,"15.15 And I am seated in the hearts of all; from Me are memory and knowledge, as well as their absence. I am verily That which has to be known by all the Vedas; I am indeed the author of the Vedanta and the knower of the Vedas am I.",seated hearts memory knowledge well absence verily known vedas indeed author vedanta knower vedas
BG15.16,15,16,"15.16 Two Purushas there are in this world, the perishable and the imperishable. All beings are 
the perishable and the Kutastha  the unchanging  is called the imperishable.",two purushas world perishable imperishable beings perishable kutastha unchanging called imperishable
BG15.17,15,17,"15.17 But distinct is the Supreme Purusha called the highest Self, the indestructible Lord Who, pervading the three worlds, sustains them.",distinct supreme purusha called highest self indestructible lord pervading three worlds sustains
BG15.18,15,18,"15.18 As I transcend the perishable and am even higher than the imperishable, I am declared to be the highest Purusha in the world and in the Vedas.",transcend perishable even higher imperishable declared highest purusha world vedas
BG15.19,15,19,"15.19 He who, undeluded, knows Me thus as the highest Purusha, he, knowing all, worships Me with his whole being (heart), O Arjuna.",undeluded knows thus highest purusha knowing worships whole heart arjuna
BG15.20,15,20,"15.20 Thus, this most secret science has been taught by Me, O sinless one; on knowing this, a man becomes wise, and all his duties are accomplished, O Arjuna.",thus secret science taught sinless one knowing man becomes wise duties accomplished arjuna
BG16.1,16,1,"16.1 The Blessed Lord said  Fearlessness, purity of heart, steadfastness in knowledge and Yoga, almsgiving, control of the senses, sacrifice, study of scriptures, austerity and straightforwardness.",blessed lord said fearlessness purity heart steadfastness knowledge yoga almsgiving control senses sacrifice study scriptures austerity straightforwardness
BG16.2,16,2,"16.2 Harmlessness, truth, absence of anger, renunciation, peacefulness, absence of crookedness, compassion towards beings, non-covetousness, gentleness, modesty, absence of fickleness.",harmlessness truth absence anger renunciation peacefulness absence crookedness compassion towards beings non covetousness gentleness modesty absence fickleness
